Ensembl_gene_id,p53_mock_4
ENSMUSG00000075014,6703
ENSMUSG00000075015,1074
ENSMUSG00000098078,3151
ENSMUSG00000041801,16
ENSMUSG00000066315,0
ENSMUSG00000069306,0
ENSMUSG00000061167,2670
ENSMUSG00000081406,1352
ENSMUSG00000078087,3
ENSMUSG00000096385,138
ENSMUSG00000023067,27
ENSMUSG00000095186,718
ENSMUSG00000096519,289
ENSMUSG00000095891,319
ENSMUSG00000095547,707
ENSMUSG00000091028,97
ENSMUSG00000026700,5
ENSMUSG00000069045,86
ENSMUSG00000081604,1947
ENSMUSG00000061983,2047
ENSMUSG00000074564,110
ENSMUSG00000101939,0
ENSMUSG00000043483,1250
ENSMUSG00000069049,82
ENSMUSG00000009628,8
ENSMUSG00000095280,106
ENSMUSG00000069919,29620
ENSMUSG00000096201,25
ENSMUSG00000021701,169
ENSMUSG00000052305,74951
ENSMUSG00000069917,74319
ENSMUSG00000029134,11
ENSMUSG00000081344,0
ENSMUSG00000046721,2122
ENSMUSG00000068744,167
ENSMUSG00000073940,17309
ENSMUSG00000059195,0
ENSMUSG00000037855,74
ENSMUSG00000025889,2
ENSMUSG00000002083,97
ENSMUSG00000096736,31
ENSMUSG00000022385,102
ENSMUSG00000037188,4
ENSMUSG00000026831,0
ENSMUSG00000100944,0
ENSMUSG00000078794,6
ENSMUSG00000047676,40
ENSMUSG00000027171,194
ENSMUSG00000048458,365
ENSMUSG00000101878,0
ENSMUSG00000030641,106
ENSMUSG00000040918,179
ENSMUSG00000053706,0
ENSMUSG00000094090,7
ENSMUSG00000105796,0
ENSMUSG00000082035,81
ENSMUSG00000025270,4231
ENSMUSG00000051811,21
ENSMUSG00000040533,8
ENSMUSG00000096255,15
ENSMUSG00000062456,49
ENSMUSG00000044734,5600
ENSMUSG00000034437,0
ENSMUSG00000072825,352
ENSMUSG00000039450,340
ENSMUSG00000061311,241
ENSMUSG00000006574,1117
ENSMUSG00000042099,195
ENSMUSG00000093798,17
ENSMUSG00000075122,187
ENSMUSG00000055632,116
ENSMUSG00000054589,45
ENSMUSG00000028893,378
ENSMUSG00000076569,989
ENSMUSG00000046480,20
ENSMUSG00000000308,0
ENSMUSG00000078889,0
ENSMUSG00000032128,2
ENSMUSG00000040447,1146
ENSMUSG00000006445,328
ENSMUSG00000082016,62
ENSMUSG00000021185,668
ENSMUSG00000091694,229
ENSMUSG00000094127,1306
ENSMUSG00000043099,35
ENSMUSG00000092528,146
ENSMUSG00000041773,251
ENSMUSG00000089999,4
ENSMUSG00000081087,22
ENSMUSG00000051839,348
ENSMUSG00000094622,161
ENSMUSG00000018428,59
ENSMUSG00000073400,247
ENSMUSG00000034818,69
ENSMUSG00000045659,228
ENSMUSG00000100863,23
